,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
71,Georgetown,20,GY,1545357600,94,6.8,-58.16,75.2,4.7
72,Bosaso,0,SO,1545361672,100,11.28,49.18,75.4,11.63
73,Ambilobe,48,MG,1545361673,100,-13.19,49.05,71.84,1.19
74,Marienburg,90,DE,1545360600,93,52.12,9.98,43.74,4.7
75,Comodoro Rivadavia,0,AR,1545357600,40,-45.87,-67.48,71.6,5.82
76,Mananjary,8,MG,1545361673,90,-19.16,46.8,56.27,2.57
77,Dikson,0,RU,1545361673,100,73.51,80.55,-15.96,1.07
78,Nanortalik,0,GL,1545361092,79,60.14,-45.24,35.12,22.1
79,Kapaa,75,US,1545357360,64,22.08,-159.32,75.52,16.11
80,Moyale,0,ET,1545361674,69,3.52,39.05,56.09,4.99
81,Hobart,75,AU,1545359400,71,-42.88,147.33,57.2,13.87
82,Pandan,88,PH,1545361674,100,11.72,122.09,79.0,14.05
83,Torbay,20,CA,1545357600,73,47.66,-52.73,26.6,36.91
84,Songkhla,40,TH,1545359400,79,7.2,100.6,84.2,6.93
85,Luanda,76,AO,1545361675,97,-8.83,13.24,76.39,3.36
86,Ilulissat,92,GL,1545357000,100,69.22,-51.1,21.2,2.98
87,Hithadhoo,0,MV,1545361220,100,-0.6,73.08,81.79,4.03
88,Yulara,12,AU,1545357600,29,-25.24,130.99,87.8,14.99
89,Hami,80,CN,1545361727,74,42.84,93.51,14.47,4.36
90,Najran,0,SA,1545357600,57,17.54,44.22,51.8,2.68
91,Tuktoyaktuk,5,CA,1545357600,82,69.44,-133.03,-16.61,3.36
92,Puerto Ayora,24,EC,1545361573,100,-0.74,-90.35,75.35,8.01
93,Puri,20,ID,1545359400,83,-7.54,112.45,82.4,3.76
94,Calamar,24,CO,1545361728,94,1.96,-72.65,72.34,1.97
95,Isangel,92,VU,1545361729,100,-19.55,169.27,74.0,10.92
96,Saskylakh,76,RU,1545361729,0,71.97,114.09,-29.41,2.53
97,Tasiilaq,0,GL,1545357000,58,65.61,-37.64,28.4,2.24
98,Richards Bay,56,ZA,1545361729,97,-28.77,32.06,68.42,2.8
99,Bluff,0,AU,1545361729,41,-23.58,149.07,97.85,6.11
100,Pitimbu,20,BR,1545357600,88,-7.47,-34.81,75.2,4.7
101,Salalah,0,OM,1545357000,40,17.01,54.1,69.8,12.75
102,Valdivia,0,CL,1545357600,93,-39.81,-73.25,55.4,3.36
103,Atuona,76,PF,1545361180,100,-9.8,-139.03,81.07,14.83
104,Port Hardy,40,CA,1545357600,69,50.7,-127.42,39.2,13.87
105,Upernavik,44,GL,1545361730,100,72.79,-56.15,6.1,10.85
106,Sicamous,90,CA,1545358140,75,50.84,-118.99,42.8,25.28
107,Isabela,76,PH,1545361730,97,10.2,122.99,78.19,4.03
108,Aras,0,YE,1545361730,63,14.28,44.38,28.82,1.97
109,Arman,64,RU,1545361731,64,59.7,150.17,14.65,2.98
110,Castro,0,CL,1545357600,87,-42.48,-73.76,50.0,4.7
111,Iralaya,8,HN,1545361731,100,15.0,-83.23,75.17,3.36
112,Baghdad,90,IQ,1545359400,100,33.3,44.38,51.8,5.82
113,Celestun,0,MX,1545361731,95,20.87,-90.4,74.77,30.6
114,East London,20,ZA,1545361651,100,-33.02,27.91,71.26,19.13
115,Timizart,92,DZ,1545361731,100,36.8,4.25,47.86,1.07
116,Gizo,40,IL,1545360600,87,31.8,34.94,57.2,9.17
117,Tayu,20,JP,1545359400,62,35.06,136.67,53.6,6.93
118,Cidreira,76,BR,1545361211,98,-30.17,-50.22,70.81,2.68
119,Torquay,75,GB,1545358800,100,50.47,-3.52,53.6,12.75
120,Airai,0,TL,1545361733,53,-8.93,125.41,86.69,2.01
121,Maniitsoq,80,GL,1545361733,91,65.42,-52.9,26.8,4.59
122,Notse,12,TG,1545361733,91,6.95,1.17,69.59,2.8
123,Amahai,12,ID,1545361733,100,-3.31,129.0,82.64,13.6
124,Yellowknife,90,CA,1545357600,85,62.45,-114.38,10.4,8.05
125,Santa Rosa,48,AR,1545361735,56,-36.62,-64.29,68.24,13.04
126,Klaksvik,76,FO,1545358800,93,62.23,-6.59,41.0,3.36
127,Biltine,20,TD,1545361735,33,14.53,20.93,59.29,15.66
128,Ratanpur,0,IN,1545359400,82,23.11,87.07,59.0,5.82
129,Bethel,1,US,1545357360,81,60.79,-161.76,-14.05,10.29
130,Sitka,0,US,1545361736,43,37.17,-99.65,39.58,10.8
131,Te Anau,92,NZ,1545361736,95,-45.41,167.72,49.97,3.69
132,Grand Gaube,75,MU,1545357600,83,-20.01,57.66,78.8,11.41
133,Slave Lake,90,CA,1545360780,68,55.28,-114.77,28.4,12.75
134,Pisco,40,PE,1545357600,88,-13.71,-76.2,68.0,18.34
135,Sao Filipe,12,CV,1545361737,94,14.9,-24.5,75.04,15.28
136,Skjervoy,0,NO,1545361737,100,70.03,20.97,23.92,10.63
137,Iquitos,75,PE,1545357600,88,-3.75,-73.25,77.0,3.36
138,Coquimbo,0,CL,1545357600,87,-29.95,-71.34,57.2,6.11
139,Fortuna,0,ES,1545359400,81,38.18,-1.13,48.2,2.24
140,Narsaq,0,GL,1545361788,58,60.91,-46.05,9.34,5.99
141,Ardakan,0,IR,1545361200,93,32.31,54.02,39.2,4.7
142,Bredasdorp,24,ZA,1545357600,93,-34.53,20.04,60.8,4.7
143,Hofn,0,IS,1545361736,100,64.25,-15.21,39.8,12.86
144,Constitucion,5,MX,1545360600,28,23.99,-104.67,44.6,3.36
145,Malinovoye Ozero,24,RU,1545361789,56,51.68,79.77,-10.83,8.28
146,Saint-Philippe,90,CA,1545360240,73,45.36,-73.48,33.31,9.17
147,Vestmannaeyjar,48,IS,1545361549,99,63.44,-20.27,35.75,4.81
148,Warri,0,NG,1545361790,88,5.52,5.75,74.0,4.81
149,Kalabo,44,ZM,1545361790,88,-15.0,22.67,67.52,2.53
150,Saintes,90,FR,1545359400,87,45.74,-0.63,53.04,17.22
151,Shimoda,20,JP,1545357600,50,34.7,138.93,56.19,11.41
152,Derzhavinsk,0,KZ,1545361790,26,51.1,66.31,-17.94,5.32
153,Yizheng,0,CN,1545361791,73,24.67,103.43,56.77,3.47
154,Jumla,0,NP,1545361791,47,29.28,82.18,9.2,1.45
155,San Policarpo,92,PH,1545361791,100,12.18,125.51,79.04,7.72
156,Kununurra,0,AU,1545359400,47,-15.77,128.74,98.6,4.7
157,Boksitogorsk,48,RU,1545361791,80,59.47,33.85,6.77,3.36
158,Dwarka,0,IN,1545359400,81,28.58,77.04,46.4,3.2
159,Saldanha,92,PT,1545361792,99,41.42,-6.55,45.7,8.01
160,Cap Malheureux,75,MU,1545357600,83,-19.98,57.61,78.8,11.41
161,Iqaluit,90,CA,1545357600,77,63.75,-68.52,1.4,13.87
162,Kralendijk,36,BQ,1545357300,83,12.15,-68.27,78.8,14.99
163,Rawson,0,AR,1545361793,56,-43.3,-65.11,62.26,12.75
164,Lompoc,1,US,1545359700,87,34.64,-120.46,55.49,4.7
165,Saint George,20,GR,1545357000,93,39.45,22.34,35.6,1.86
166,Provideniya,0,RU,1545359400,70,64.42,-173.23,-5.81,7.0
167,Waddan,88,LY,1545361794,80,29.16,16.14,36.02,3.09
168,San Patricio,92,PY,1545361276,99,-26.98,-56.83,72.25,3.58
169,Qaanaaq,56,GL,1545361273,92,77.48,-69.36,0.52,2.98
170,Rudnogorsk,32,RU,1545361795,41,57.27,103.75,-5.61,9.73
171,Uige,68,AO,1545361795,99,-7.61,15.06,65.72,2.35
172,Bamiantong,64,CN,1545361796,60,44.93,130.53,25.49,4.59
173,Nouadhibou,0,MR,1545357600,59,20.93,-17.03,64.4,14.99
174,Clarksburg,90,US,1545360780,83,39.28,-80.34,51.37,8.05
175,Esperance,20,TT,1545357600,83,10.24,-61.45,77.0,5.59
176,Kulhudhuffushi,80,MV,1545361797,100,6.62,73.07,82.42,10.25
177,Bull Savanna,92,JM,1545361797,94,17.89,-77.59,73.42,6.11
178,Manono,92,CD,1545361798,100,-7.3,27.4,69.28,3.87
179,Tabas,0,IR,1545357600,48,33.6,56.92,39.2,4.7
180,Pochutla,20,MX,1545360060,74,15.74,-96.47,78.8,1.3
181,Kapuskasing,90,CA,1545358920,92,49.42,-82.43,21.2,12.75
182,Deputatskiy,32,RU,1545361848,0,69.3,139.9,-35.35,2.98
183,Hasaki,20,JP,1545361200,37,35.73,140.83,55.4,4.7
184,Ourem,0,PT,1545357600,93,39.64,-8.59,50.0,3.36
185,Toro,40,CO,1545357600,88,4.61,-76.08,69.8,4.7
186,Port Elizabeth,90,US,1545360960,93,39.31,-74.98,55.24,18.34
187,Nichinan,75,JP,1545361200,100,31.65,131.31,57.33,4.7
188,Evensk,12,RU,1545361851,100,61.92,159.24,11.77,19.01
189,Meiktila,0,MM,1545361851,85,20.88,95.86,71.39,4.21
190,Eskil,80,TR,1545361852,100,38.4,33.41,38.41,3.58
191,Namibe,56,AO,1545361852,100,-15.19,12.15,70.9,3.87
192,Bolotnoye,64,RU,1545361852,68,55.67,84.39,-4.71,13.87
193,Cabo San Lucas,5,MX,1545360960,68,22.89,-109.91,67.1,4.03
194,Longyearbyen,75,NO,1545360600,69,78.22,15.63,35.6,18.34
195,Tomatlan,0,MX,1545361853,90,19.93,-105.25,60.46,2.3
196,Komsomolskiy,88,RU,1545361854,93,67.55,63.78,25.49,25.84
197,Sorrento,0,AU,1545359400,25,-31.82,115.75,86.59,16.11
198,Muros,90,ES,1545359400,100,42.77,-9.06,51.8,17.22
199,Kathu,0,ZA,1545361855,33,-27.7,23.05,58.7,6.04
200,Nikolskoye,75,RU,1545359400,92,59.7,30.79,10.4,8.95
201,Carmaux,90,FR,1545359400,93,44.05,2.16,44.6,6.93
202,Council Bluffs,1,US,1545360960,89,41.26,-95.86,33.69,9.17
203,Medea,40,DZ,1545359400,100,36.27,2.77,51.8,3.36
204,Chuy,92,UY,1545361788,97,-33.69,-53.46,69.5,12.41
205,Tromso,0,NO,1545360600,74,69.65,18.96,18.84,17.22
206,Lieksa,64,FI,1545361858,64,63.32,30.02,3.67,2.46
207,Palafrugell,0,ES,1545359400,100,41.92,3.16,32.0,3.36
208,Victoria,75,BN,1545357600,88,5.28,115.24,80.6,3.36
209,Prince George,90,CA,1545360540,100,53.92,-122.75,32.0,16.11
210,Alofi,75,NU,1545357600,74,-19.06,-169.92,84.2,13.87
211,Abu Samrah,44,SY,1545361860,88,35.3,37.18,40.79,4.81
212,Anadyr,24,RU,1545359400,67,64.73,177.51,-27.41,11.18
213,Adrar,0,DZ,1545357600,49,27.87,-0.29,48.2,6.93
214,Scalea,88,IT,1545361861,100,39.82,15.79,54.74,3.76
215,Avera,90,US,1545360900,89,33.19,-82.53,59.38,4.7
216,Geraldton,90,CA,1545357600,78,49.72,-86.95,15.8,9.17
217,Gainesville,88,US,1545360660,93,29.65,-82.33,62.31,11.41
218,Tiksi,8,RU,1545361862,0,71.64,128.87,-38.23,6.04
219,Porto Novo,0,BR,1545357600,65,-23.68,-45.44,80.6,5.82
220,Manta,64,RO,1545361862,85,45.1,24.1,16.36,2.68
221,Nadym,92,RU,1545361863,88,65.53,72.51,20.05,27.13
222,Tura,36,IN,1545361863,94,25.52,90.21,61.4,3.53
223,Zhangjiakou,0,CN,1545361864,34,40.77,114.88,25.54,6.38
224,Miraflores,64,CO,1545361864,92,5.2,-73.14,47.9,0.78
225,Kuznechikha,56,RU,1545361907,78,63.45,41.73,5.11,3.24
226,Kangaatsiaq,76,GL,1545361908,100,68.31,-53.46,23.56,7.49
227,Sangar,56,RU,1545361909,68,63.92,127.47,-9.84,5.21
228,Trinidad,0,UY,1545361909,97,-33.52,-56.9,64.6,3.09
229,Estepona,0,ES,1545359400,93,36.43,-5.15,49.44,6.93
230,Bundaberg,0,AU,1545357600,59,-24.87,152.35,89.6,14.99
231,Jinji,76,CN,1545361910,91,22.16,112.49,72.16,3.69
232,Kangasala,75,FI,1545360600,85,61.46,24.07,16.48,8.05
233,Kudahuvadhoo,20,MV,1545361911,100,2.67,72.89,80.71,6.71
234,Yeovil,92,GB,1545360600,100,50.94,-2.63,52.3,12.75
235,Oktyabrskoye,20,RU,1545359400,76,56.73,85.44,-9.41,13.42
236,Vanavara,32,RU,1545361912,19,60.35,102.28,-12.4,8.9
237,Nyagan,56,RU,1545361912,70,62.14,65.43,13.75,10.25
238,Thompson,90,CA,1545357600,84,55.74,-97.86,3.2,3.36
239,Miles City,1,US,1545360780,63,46.41,-105.84,35.96,12.75
240,Dongsheng,56,CN,1545361913,94,29.72,112.52,56.54,7.27
241,Ayan,68,TR,1545361913,80,40.67,33.6,22.3,1.97
242,Leningradskiy,0,RU,1545361914,86,69.38,178.42,-13.98,10.13
243,Batagay,36,RU,1545361914,0,67.65,134.64,-48.72,3.02
244,Batemans Bay,92,AU,1545361915,98,-35.71,150.18,64.19,4.47
245,Saint-Augustin,0,FR,1545359400,71,44.83,-0.61,52.59,11.41
246,Goderich,92,CA,1545361916,94,43.74,-81.71,38.95,10.58
247,Maceio,0,BR,1545357600,83,-9.67,-35.74,73.4,4.7
248,Pakokku,68,MM,1545361916,98,21.33,95.09,68.65,4.09
249,Nouakchott,0,MR,1545359400,19,18.08,-15.98,60.8,8.05
250,Los Llanos de Aridane,0,ES,1545359400,68,28.66,-17.92,64.4,11.41
251,Namatanai,48,PG,1545361917,100,-3.66,152.44,80.62,5.1
252,Mayo,20,CA,1545357600,77,63.59,-135.9,6.8,4.7
253,Bambous Virieux,75,MU,1545361200,83,-20.34,57.76,78.8,13.87
254,Tecoanapa,20,MX,1545360060,78,16.99,-99.26,77.0,2.24
255,Waiouru,92,NZ,1545361741,89,-39.48,175.67,57.67,5.26
256,Quincy,90,US,1545359700,100,30.59,-84.58,59.54,6.93
257,Bandarbeyla,48,SO,1545361920,100,9.49,50.81,77.42,20.54
258,Progreso,90,UY,1545357600,88,-34.68,-56.22,69.8,2.24
259,Vila,75,IT,1545360600,100,45.18,8.4,27.19,3.36
260,Peruibe,32,BR,1545361921,98,-24.32,-47.0,80.39,15.17
261,Beihai,75,CN,1545359400,87,38.95,121.19,44.6,8.95
262,Manjacaze,92,MZ,1545361922,95,-24.71,33.88,74.0,12.59
263,Ostrovnoy,24,RU,1545361922,83,68.05,39.51,7.63,12.59
264,Cockburn Town,8,TC,1545361922,98,21.46,-71.14,80.71,23.55
265,Kamaishi,20,JP,1545361200,52,39.28,141.86,44.6,11.41
266,Aranos,0,NA,1545361922,28,-24.14,19.11,62.84,4.25
267,Kavieng,64,PG,1545361923,100,-2.57,150.8,82.51,10.29
268,Marsh Harbour,0,BS,1545361923,96,26.54,-77.06,79.18,29.71
269,Ligatne,92,LV,1545361924,80,57.23,25.04,19.6,8.39
270,Ust-Kuyga,0,RU,1545361925,0,70.0,135.55,-53.76,3.24
271,Ola,68,RU,1545361925,100,59.58,151.3,23.92,22.7
272,Boundiali,8,CI,1545361967,66,9.53,-6.48,64.1,2.75
273,Burnie,92,AU,1545361969,100,-41.05,145.91,56.99,6.26
274,Lethem,12,GY,1545361969,84,3.38,-59.8,75.44,7.61
275,Izumo,0,JP,1545361200,76,35.37,132.75,53.85,3.36
276,Mahina,8,ML,1545361970,43,13.76,-10.85,69.73,9.06
277,Lensk,56,RU,1545361970,69,60.71,114.91,8.75,4.47
278,Buenaventura,92,CO,1545361971,98,3.89,-77.07,68.47,2.3
279,Melfort,75,CA,1545357600,92,52.87,-104.61,5.0,5.82
280,Bozeman,1,US,1545360900,59,45.68,-111.04,37.4,24.16
281,Mucurapo,20,TT,1545357600,83,10.67,-61.53,77.0,15.28
282,Staryy Nadym,92,RU,1545361972,88,65.61,72.68,20.05,27.13
283,Krasnyy Kholm,68,RU,1545361972,77,58.06,37.11,7.45,3.09
284,Clyde River,90,CA,1545359220,83,70.47,-68.59,-9.41,16.11
285,Leshukonskoye,68,RU,1545361973,72,64.9,45.76,6.73,4.59
286,Nha Trang,0,VN,1545357600,62,12.24,109.19,84.2,6.93
287,Saint-Francois,0,FR,1545359400,70,46.42,3.91,48.2,9.17
288,Grindavik,40,IS,1545361200,100,63.84,-22.43,33.64,2.24
289,Ucluelet,68,CA,1545361974,86,48.94,-125.55,37.24,7.61
290,Solnechnyy,0,RU,1545361975,65,50.72,136.64,-4.03,2.75
291,San Cristobal,75,EC,1545361200,100,-0.39,-78.55,55.4,2.24
292,Tateyama,40,JP,1545361200,77,36.66,137.31,51.8,3.36
293,Ladnun,0,IN,1545361976,69,27.64,74.39,40.21,2.86
294,Farmington,1,US,1545360780,35,36.73,-108.21,33.69,4.25
295,Urengoy,88,RU,1545361978,74,65.96,78.37,-6.87,24.34
296,Maltahohe,0,NA,1545361978,59,-24.83,16.98,57.44,5.88
297,Alegre,36,BR,1545361806,92,-20.76,-41.53,73.33,2.98
298,Bathsheba,40,BB,1545357600,69,13.22,-59.52,78.8,13.87
299,Fuyu,48,CN,1545361979,66,47.79,124.46,12.62,6.26
300,Bangassou,0,CF,1545361980,56,4.74,22.82,70.18,4.99
301,Port Hedland,8,AU,1545359400,44,-20.31,118.58,96.8,14.99
302,Kiama,75,AU,1545359400,82,-34.67,150.86,66.2,11.41
303,Karratha,0,AU,1545361982,39,-20.74,116.85,90.65,6.55
304,Tucuman,24,PE,1545361982,76,-17.17,-70.89,53.53,1.68
305,Tabou,12,CI,1545361982,100,4.42,-7.36,81.25,6.11
306,Zhuhai,0,CN,1545357600,61,40.71,112.04,17.6,4.47
307,Laurel,75,US,1545360780,31,45.67,-108.77,42.98,18.34
308,Dunhua,80,CN,1545361982,62,43.37,128.23,26.8,4.7
309,Carutapera,76,BR,1545361983,87,-1.2,-46.02,78.82,7.72
310,Bilma,0,NE,1545361983,75,18.69,12.92,46.96,3.2
311,Cayenne,75,GF,1545359400,88,4.94,-52.33,78.8,9.17
312,Cervo,12,BR,1545361983,95,-22.19,-46.24,64.19,2.68
313,Meulaboh,0,ID,1545361984,100,4.14,96.13,82.82,4.32
314,Mardin,0,TR,1545360600,100,37.32,40.72,41.0,1.12
315,Jatiroto,40,ID,1545359400,74,-6.89,111.01,82.4,3.36
316,Orlik,20,RU,1545362028,54,52.51,99.83,-15.46,4.99
317,Norman Wells,90,CA,1545357600,83,65.28,-126.83,-9.41,3.36
318,Ayr,75,GB,1545360600,93,55.46,-4.63,42.96,2.24
319,Lorengau,68,PG,1545362029,100,-2.02,147.27,81.07,8.23
320,Ekibastuz,0,KZ,1545362030,71,51.72,75.32,-10.06,9.4
321,Chapleau,90,CA,1545357600,100,47.85,-83.4,33.8,4.7
322,Sioux Lookout,90,CA,1545359760,85,50.1,-91.92,9.48,3.36
323,Labuhan,68,ID,1545362031,77,-2.54,115.51,83.72,0.85
324,Codrington,20,AU,1545357600,31,-28.95,153.24,98.46,23.04
325,Saraland,90,US,1545360960,96,30.82,-88.07,50.99,8.05
326,Aklavik,90,CA,1545358680,75,68.22,-135.01,-13.01,1.97
327,Lucapa,92,AO,1545362032,98,-8.42,20.74,65.27,4.99
328,Broome,92,GB,1545360960,93,52.47,1.45,45.37,5.82
329,Aviles,0,ES,1545359400,59,43.55,-5.92,62.6,5.82
330,Champerico,75,MX,1545360300,56,16.38,-93.6,69.8,12.75
331,Dandong,92,CN,1545362034,100,40.12,124.37,35.53,6.89
332,Port Blair,0,IN,1545362034,100,11.67,92.75,82.51,6.49
333,Gawler,40,AU,1545359400,49,-34.6,138.75,68.0,19.46
334,Dicabisagan,92,PH,1545362036,100,17.08,122.42,73.6,7.72
335,Boguchany,24,RU,1545362036,18,58.38,97.46,-10.51,9.62
336,Porosozero,80,RU,1545362036,84,62.72,32.71,7.45,2.57
337,Wanning,75,AT,1545360600,92,48.64,13.53,30.2,3.36
338,Lokosovo,68,RU,1545362037,79,61.13,74.84,14.38,15.88
339,Hornepayne,92,CA,1545362037,78,49.22,-84.78,18.25,8.57
340,Praia da Vitoria,75,PT,1545357600,88,38.73,-27.07,66.2,12.93
341,Rocha,88,UY,1545362038,95,-34.48,-54.34,67.39,7.11
342,El Alto,75,BO,1545361200,93,-16.5,-68.19,44.6,11.41
343,Pinheiro Machado,92,BR,1545362038,95,-31.58,-53.38,65.9,3.53
344,Kuznechnoye,68,RU,1545362039,83,61.12,29.87,13.7,3.02
345,Severo-Kurilsk,0,RU,1545362040,100,50.68,156.12,27.16,17.85
346,Alenquer,0,BR,1545361200,94,-1.95,-54.74,77.0,2.86
347,Spas,90,UA,1545361200,79,50.05,24.48,26.6,6.71
348,Egvekinot,12,RU,1545362041,0,66.32,-179.17,-37.96,2.35
349,Ibra,0,OM,1545362042,99,22.69,58.55,40.52,2.3
350,Ajdabiya,12,LY,1545362042,80,30.75,20.22,39.04,2.86
351,Belmonte,80,PT,1545362042,100,40.36,-7.35,44.98,2.68
352,Barabai,32,ID,1545362042,79,-2.59,115.38,84.8,2.86
353,Maamba,8,ZM,1545362042,89,-17.36,27.22,67.84,2.75
354,La Ronge,90,CA,1545359280,92,55.1,-105.3,14.0,6.93
355,Chesterton,90,US,1545360900,95,41.61,-87.06,41.47,8.05
356,Aitape,88,PG,1545362043,100,-3.15,142.36,80.12,1.79
357,Tsogni,92,GA,1545362045,100,-2.79,10.1,77.42,1.86
358,Awbari,68,LY,1545362045,72,26.59,12.77,41.83,6.26
359,Lebu,0,ET,1545357600,70,8.96,38.73,48.2,2.24
360,Bilibino,24,RU,1545362088,0,68.06,166.44,-40.08,2.35
361,Alice Springs,0,AU,1545359400,24,-23.7,133.88,89.6,17.22
362,Kavaratti,0,IN,1545362089,100,10.57,72.64,80.35,3.02
363,Mirnyy,56,RU,1545362089,82,56.57,36.46,6.1,5.82
364,Tenenkou,0,ML,1545362090,54,14.46,-4.91,63.07,10.36
365,Lagoa,0,PT,1545359400,87,37.14,-8.45,51.8,8.05
366,Coruripe,92,BR,1545362091,100,-10.12,-36.18,77.65,11.3
367,Nelson Bay,75,AU,1545359400,64,-32.72,152.14,75.2,18.34
368,Sao Felix do Xingu,20,BR,1545362092,98,-6.64,-51.99,73.06,2.24
369,Kruisfontein,0,ZA,1545362092,86,-34.0,24.73,64.78,12.3
370,Luganville,88,VU,1545362093,100,-15.51,167.18,80.17,4.7
371,Itarema,92,BR,1545362093,90,-2.92,-39.92,78.14,9.91
372,Kholm,76,RU,1545362093,81,57.15,31.18,10.33,11.14
373,Nome,1,US,1545360900,43,30.04,-94.42,54.19,12.75
